title,summary,text,language,link,ilr_quantized,ilr_range,ilr_regressed,translated_summary
"Après le sommet de Poutine à Pyongyang, Séoul et Moscou jouent un jeu dangereux","La signature par la Corée du Nord et la Russie d'un accord qui rétablit pour l'essentiel leur alliance de la guerre froide a plongé la Corée du Sud et la Russie dans un jeu dangereux.

Notre sélection internationale
, Non francophone","North Korea and Russias signing of an agreement that essentially restores their Cold War alliance has thrown South Korea and Russia into a dangerous game. 
Russian President Vladimir Putin declared … ",,https://english.hani.co.kr/arti/english_edition/e_international/1146229,1.5,"[0.9020554705523347, 2.496574215746109]",1.6993148431492218,The signing by North Korea and Russia of an agreement that essentially restores their Cold War alliance has plunged South Korea and
Manifestations au Kenya : la génération Z montre le pouvoir de l'activisme numérique,"Des manifestations nationales ont éclaté au Kenya en raison d'un projet de loi fiscale controversé. Le projet de loi de finances 2024, initialement présenté au parlement en mai, a suscité le mécontentement en raison de l'augmentation d'une série d'impôts et d…","Nationwide demonstrations have erupted in Kenya over a controversial tax bill. The Finance Bill 2024, initially presented to parliament in May, has sparked discontent with an increase in an array of … ",,https://africauncensored.online/kenya-protests-gen-z-shows-the-power-of-digital-activism-driving-change-from-screens-to-the-streets/,1.5,"[1.3977071844211446, 1.670488025964759]",1.5340976051929518,"Nationwide protests have erupted in Kenya over a controversial tax bill. The 2024 Finance Bill, originally proposed by the Kenyan government,"
Comment l'extrême droite a utilisé TikTok pour diffuser des mensonges et des conspirations,"Les fils TikTok des pays d'Europe centrale et orientale, notamment la République tchèque, la Slovaquie, l'Estonie, la Roumanie et la Pologne, ont été remplis de théories du complot et de propos alarmistes ressemblant à de la désinformation russe, et ce au pro…","TikTok feeds in Central Eastern European countries, including the Czech Republic, Slovakia, Estonia, Romania and Poland, have been filled with conspiracy theories and fear-mongering resembling Russia… ",,https://vsquare.org/far-right-tiktok-lies-conspiracies/,1.5,"[1.3596917039701149, 1.584184977617931]",1.471938340794023,"TikTok feeds from Central and Eastern European countries, including the Czech Republic, Slovakia, Estonia, Romania and Poland, have been"
L'IA peut rendre les élections africaines plus efficaces mais la confiance doit être instaurée et des règles appropriées mises en place,"Il est trop simpliste de dire que l'utilisation de l'IA dans les élections est bonne ou mauvaise. La vérité, c'est qu'elle peut être les deux à la fois.","Le magazine Time a qualifié l'année 2024 de “super année électorale”. Cette année, 4 milliards de personnes sont appelées à voter dans les pays du monde entier. Beaucoup se trouvent sur le continent … ",,https://theconversation.com/lia-peut-rendre-les-elections-africaines-plus-efficaces-mais-la-confiance-doit-etre-instauree-et-des-regles-appropriees-mises-en-place-232764,2.0,"[1.9262945449708804, 2.1228424250485327]",2.0245684850097065,It’s too simplistic to say that the use of AI in elections is good or bad. The truth is that it can be both.
"Francofolies de La Rochelle : Amalia et Ditter, les belles découvertes du Chantier des Francos","Chaque année, le célèbre festival rochelais sélectionne de jeunes artistes dans sa programmation. L'occasion de construire leur début de carrière, avant de les propulser sur le devant de la scène.","Le festival des Francofolies de La Rochelle bat son plein jusqu'au 14 juillet. En marge de la prestigieuse programmation, les spectateurs peuvent découvrir des jeunes artistes émergents grâce au disp… ",,https://www.francetvinfo.fr/culture/musique/francofolies-de-la-rochelle-amalia-et-ditter-les-belles-decouvertes-du-chantier-des-francos_6665958.html,1.5,"[0.37648774841692134, 2.174107350949847]",1.2752975496833845,"Every year, the famous La Rochelle festival selects young artists for its programme. The opportunity to build their early career, ava"
"Bardella, l’appel de Matignon : notre grand récit sur les vingt jours qui ont tourmenté le RN","Depuis l’annonce de la dissolution, tout s’accélère pour le parti d’extrême droite et son président, qui envisage avec appréhension l’exercice du pouvoir et l’arrivée à Matignon.","Erreur 404. Mardi 18 juin au matin, le programme du Rassemblement national a disparu. Le site Internet sur lequel se trouvaient les ""livrets thématiques"" déroulant les mesures du parti dextrême droit… ",,https://www.lexpress.fr/politique/bardella-lappel-de-matignon-notre-grand-recit-sur-les-vingt-jours-qui-ont-tourmente-le-rn-IDFO53ES7FABZN4E4SX5VRIPJU/,1.5,"[1.3888761600635826, 1.685206399894029]",1.5370412799788058,"Since the announcement of the dissolution, everything has accelerated for the far-right party and its president, who is apprehensive about exercising power."
Quand la génération Platini montrait le chemin de la victoire à la France du sport,"« 1984-2024 : la période Bleus » (1/6). En 1984, l’équipe de France décrochait à l’Euro le premier titre majeur du football tricolore. Le premier, également, tous sports collectifs confondus, pour le pays.","Michel Hidalgo et Michel Platini célèbrent la victoire de léquipe de France face à lEspagne, en finale de lEuro, au Parc des Princes, à Paris, le 27 juin 1984. ETER ROBINSON/ PA IMAGES / ICON SPORT
… ",,https://www.lemonde.fr/sport/article/2024/06/24/quand-la-generation-platini-montrait-le-chemin-de-la-victoire-a-la-france-du-sport_6243282_3242.html,1.0,"[0.6643563136026893, 1.5594061439955178]",1.1118812287991036,"""1984-2024: the Bleus period"" (1/6). In 1984, the French team won the first major title in French football at the Euro. The first, also"
Paris 2024 : Amélie Oudéa-Castéra s’est baignée dans la Seine,"La ministre des sports devance ainsi de quelques jours la maire de Paris, Anne Hidalgo, qui a prévu de se baigner le 17 juillet si la qualité de l’eau reste bonne.","La ministre des sports, Amélie Oudéa-Castéra, sest baignée samedi 13 juillet au matin dans la Seine, selon des images diffusées par BFM-TV, quelques jours avant la baignade programmée de la maire soc… ",,https://www.lemonde.fr/sport/article/2024/07/13/paris-2024-amelie-oudea-castera-s-est-baignee-dans-la-seine_6249657_3242.html,1.0,"[0.9864115193936565, 1.0081530883638061]",0.9972823038787312,"The Minister of Sports is thus a few days ahead of the Mayor of Paris, Anne Hidalgo, who plans to go swimming on July 17 if the water quality is good."
Paris 2024 : le relais de la flamme chez le « monsieur JO » des départements de France,"Référent sports et Jeux olympiques de l’Assemblée des départements de France, Patrick Weiten a négocié la participation de ces derniers au relais de la flamme. Jeudi, la torche sera en Moselle, département qu’il préside.","Patrick Weiten, à Metz, le 1juillet 2021. PASCAL BROCARD/LE RÉPUBLICAIN LORRAIN/MAXPPP
Il était à Olympie, en Grèce, le 16 avril pour lallumage de la flamme olympique. Et à Marseille, le 8 mai, pour… ",,https://www.lemonde.fr/sport/article/2024/06/26/paris-2024-le-relais-de-la-flamme-chez-le-monsieur-jo-des-departements-de-france_6243925_3242.html,1.0,"[0.6923701599856225, 1.5127164000239626]",1.1025432800047923,"Patrick Weiten, Sports and Olympic Games representative for the Assembly of French Departments, negotiated the latter's participation in the relay of the"
"Le programme de l’Euro 2024 du vendredi 21 juin : le deuxième match de l’équipe de France, face aux Pays-Bas","La deuxième journée de la phase de groupes se poursuit, vendredi, avec le choc entre la France et les Pays-Bas, dans le groupe D.","Les Bleus sont entrés efficacement dans leur Euro, lundi 17 juin, face à lAutriche. Mais ils pourraient bien montrer un visage très différent ce soir, avec lincertitude qui plane sur la titularisatio… ",,https://www.lemonde.fr/sport/article/2024/06/21/le-programme-de-l-euro-2024-du-vendredi-21-juin-le-deuxieme-match-de-l-equipe-de-france-face-aux-pays-bas_6241972_3242.html,1.5,"[0.9219527745377585, 1.846828335277345]",1.3843905549075517,"The second day of the group stage continues on Friday with the clash between France and the Netherlands, in Group D."
Le programme de l’Euro 2024 de lundi 24 juin : l’Italie défendra sa place face à la Croatie,"La Roja, déjà qualifiée pour les huitièmes de finale et assurée de la tête du groupe B, sera opposée à l’Albanie, lundi. La Croatie, en dernière position de la poule, tentera de faire vaciller l’Italie, tenante du titre.","Les matchs décisifs de la troisième journée des phases de groupes de lEuro 2024 se poursuivent en Allemagne, lundi 24 juin.
LEspagne (1re, 6 points) a sécurisé sa première place dans le groupe B lor… ",,https://www.lemonde.fr/sport/article/2024/06/24/le-programme-de-l-euro-2024-de-lundi-24-juin-l-italie-defendra-sa-place-face-a-la-croatie_6243210_3242.html,1.0,"[0.47148597995700303, 1.8808567000716616]",1.1761713400143323,"La Roja, already qualified for the round of 16 and assured of the top of Group B, will face Albania on Monday. Croatia, in last place"
Le programme de l’Euro 2024 du mercredi 19 juin : l’Allemagne lorgne déjà les huitièmes de finale,"La deuxième journée de la phase de groupes débute, mercredi, avec en point d’orgue la rencontre, dans le groupe A, entre la Mannschaft et la Hongrie.","Le milieu offensif allemand Florian Wirtz (à gauche) célèbre avec son partenaire Joshua Kimmich le premier but de lEuro 2024, lors du match face à lEcosse, vendredi 14 juin à Munich. MIGUEL MEDINA / … ",,https://www.lemonde.fr/sport/article/2024/06/19/le-programme-de-l-euro-2024-du-mercredi-19-juin-l-allemagne-lorgne-deja-les-huitiemes-de-finale_6241336_3242.html,1.5,"[0.5474032664302806, 2.0715580401418316]",1.309480653286056,"The second day of the group stage begins on Wednesday, with the highlight being the match in Group A between the Mannschaft and Hungary."
"Le programme de l’Euro 2024 du samedi 22 juin : le Portugal au révélateur de la Turquie, la Belgique en danger","Cristiano Ronaldo est de retour sur les pelouses allemandes ce samedi, face à des Turcs soutenus et en confiance. Les Belges disputent un match de la peur face à la Roumanie à 21 heures","Les matchs décisifs de la deuxième journée de la phase de poules de lEuro 2024 se poursuivent en Allemegne ce samedi 22 juin.
A 15 heures, lors de Géorgie-République tchèque, les hommes dirigés par … ",,https://www.lemonde.fr/sport/article/2024/06/22/le-programme-de-l-euro-2024-du-samedi-22-juin-le-portugal-au-revelateur-de-la-turquie-la-belgique-en-danger_6242537_3242.html,1.0,"[0.6580075324496244, 1.5699874459172927]",1.1139974891834583,"Cristiano Ronaldo is back on the German pitches this Saturday, facing a supported and confident Turks. The Belgians are playing a match of the"
Le programme de l’Euro 2024 du jeudi 20 juin : choc de ténors entre l’Espagne et l’Italie,"Les Espagnols et les Italiens ont rendez-vous, jeudi, lors de la deuxième journée de la phase de groupes. L’Angleterre jouera en début de soirée face au Danemark.","Le défenseur italien Alessandro Bastoni (à gauche) et le jeune attaquant espagnol Lamine Yamal, le premier après son but face à lAlbanie le 15 juin, le deuxième à lentraînement le 11 juin. FRANCK FIF… ",,https://www.lemonde.fr/sport/article/2024/06/20/le-programme-de-l-euro-2024-du-jeudi-20-juin-choc-de-tenors-entre-l-espagne-et-l-italie_6241759_3242.html,1.0,"[0.07897313283021479, 1.5526161203018711]",0.815794626566043,The Spanish and Italians will meet on Thursday for the second day of the group stage. England will play in the early evening against
"Le programme de l’Euro 2024 de dimanche 23 juin : Suisse et Allemagne en « finale » du groupe A, le match de la peur entre l’Ecosse et la Hongrie","La Nati espère faire trébucher la Mannschaft pour terminer en tête du groupe A à partir de 21 heures. Dans l’autre rencontre du groupe, défaite interdite pour les Ecossais et les Hongrois","Dimanche 23 juin marque le début des troisièmes et dernières journées de groupes, avec lépilogue du groupe A.
La « finale » du groupe met aux prises, à 21 heures, la Suisse à lAllemagne. Actuelle de… ",,https://www.lemonde.fr/sport/article/2024/06/23/le-programme-de-l-euro-2024-de-dimanche-23-juin-suisse-et-allemagne-en-finale-du-groupe-a-le-match-de-la-peur-entre-l-ecosse-et-la-hongrie_6242850_3242.html,1.0,"[0.3086532993055693, 2.1522445011573845]",1.230448900231477,"The Nati hopes to trip up the Mannschaft to finish top of Group A from 9pm. In the other match in the group, defeat inter"
"Paris 2024 : à Chamonix, la flamme était sur des terres olympiques","Dimanche, la flamme olympique a parcouru le département de la Haute-Savoie, jusqu’à son arrivée à Chamonix.","« On est fiers !  » Jean-Claude Pillot-Burnet, dit Manet, président dhonneur du Club des sports de Chamonix, ne boude pas son plaisir, dimanche 23 juin en début daprès-midi. Depuis le ciel, des parap… ",,https://www.lemonde.fr/sport/article/2024/06/24/paris-2024-a-chamonix-la-flamme-est-passee-sur-des-terres-deja-tres-marquees-par-les-jeux_6243064_3242.html,1.0,"[0.6546299490392906, 1.2072220305764256]",0.930925989807858,"On Sunday, the Olympic flame travelled through the Haute-Savoie department until its arrival in Chamonix."
"En direct, Portugal-République tchèque : Cristiano Ronaldo et Vitinha titulaires chez les Portugais","Les partenaires de Cristiano Ronaldo font leur entrée en lice dans la compétition face aux Tchèques, mardi, à 21 heures, à Leipzig.","Bienvenue dans ce direct consacré au match de football opposant le Portugal et la République tchèque, comptant pour la phase de poules de lEuro 2024 masculin, une compétition qui se tient en Allemagn… ",,https://www.lemonde.fr/sport/live/2024/06/18/en-direct-portugal-republique-tcheque-suivez-le-match-de-l-euro-2024_6241123_3242.html,1.0,"[0.9192618029395243, 1.1345636617674595]",1.026912732353492,Cristiano Ronaldo's teammates will make their debut in the competition against the Czechs on Tuesday at 9 p.m. in Leipzig.
"En direct, Roumanie-Pays-Bas : suivez le huitième de finale de l’Euro 2024","Surprenants lors de la phase de groupes, les Roumains auront fort à faire, mardi, à Munich, face aux Oranje, pour rejoindre les quarts de finale du championnat d’Europe des nations.","Bienvenue dans ce direct consacré au huitième de finale de lEuro 2024 opposant la Roumanie aux Pays-Bas.
De quoi sagit-il ? De lavant-dernier huitième de finale de ce championnat dEurope 2024. Pour … ",,https://www.lemonde.fr/sport/live/2024/07/02/en-direct-roumanie-pays-bas-suivez-le-huitieme-de-finale-de-l-euro-2024_6246055_3242.html,1.0,"[0.5031395233332256, 1.828100794444624]",1.1656201588889248,"Surprising during the group stage, the Romanians will have a lot to do on Tuesday in Munich against the Oranje to reach the quarter-finals of the championship."
"En direct, Autriche-Turquie : suivez le huitième de finale de l’Euro 2024",On connaît presque tous les qualifiés pour les quarts de finale de l’Euro 2024. L’Autriche et la Turquie s’affrontent ce soir à Leipzig pour le dernier billet.,"Bienvenue dans ce direct consacré au dernier huitième de finale de lEuro 2024 opposant lAutriche à la Turquie.
De quoi sagit-il ? Du dernier billet pour les quarts de finale de lEuro 2024 ! Pour lul… ",,https://www.lemonde.fr/sport/live/2024/07/02/en-direct-autriche-turquie-suivez-le-huitieme-de-finale-de-l-euro-2024_6246146_3242.html,1.0,"[0.65545272261138, 1.5742454623143667]",1.1148490924628731,We know almost all the qualifiers for the quarter-finals of Euro 2024. Austria and Turkey face each other tonight in Leipzig for the last
"En direct, Géorgie-République tchèque : suivez le match de l’Euro 2024","L’équipe géorgienne, emmenée par Willy Sagnol, défie la formation tchèque lors de la deuxième journée de la phase de groupes, samedi, à 15 heures, à Hambourg.","Bienvenue dans ce direct consacré au match de football opposant la Géorgie et la République tchèque, comptant pour la phase de groupes de lEuro 2024 masculin, une compétition qui se tient en Allemagn… ",,https://www.lemonde.fr/sport/live/2024/06/22/en-direct-georgie-republique-tcheque-suivez-le-match-de-l-euro-2024_6242532_3242.html,1.0,"[0.5101179484049547, 1.2939292309570272]",0.902023589680991,"The Georgian team, led by Willy Sagnol, will face the Czech team on the second day of the group stage, on Saturday at 3 p.m. at H"
Ligue 1 sur DAZN et BeIN Sports : combien faudra-t-il payer ?,Les coûts d’abonnement qui seront proposés aux utilisateurs suscitent déjà de vifs débats.,"Ce 14 juillet, les présidents des clubs de Ligue 1 ont choisi dattribuer les droits TV du championnat au duo DAZN-BeIN Sport. Une décision validée par la Ligue de football professionnel (LFP). Si le … ",,https://www.presse-citron.net/ligue-1-sur-dazn-et-bein-sports-combien-faudra-t-il-payer/,1.5,"[0.27166820203966413, 2.2369990787762015]",1.2543336404079328,The subscription costs that will be offered to users are already the subject of heated debate.
"En direct, Slovaquie-Ukraine : suivez le match de l’Euro 2024","La Slovaquie, tombeuse surprise de la Belgique lors de son entrée en lice, affronte l’Ukraine, vendredi, à Düsseldorf, pour espérer s’approcher des huitièmes de finale du championnat d’Europe des nations.","Bienvenue dans ce direct consacré au match opposant la Slovaquie et lUkraine, pour la deuxième journée de compétition du groupe E, à lEuro 2024.
De quoi sagit-il ? Dune rencontre à multiples enjeux,… ",,https://www.lemonde.fr/sport/live/2024/06/21/en-direct-slovaquie-ukraine-suivez-le-match-de-l-euro-2024_6242033_3242.html,1.0,"[0.5826763023059636, 1.6955394961567274]",1.1391078992313457,"Slovakia, the surprise winners of Belgium in their opening match, will face Ukraine in Düsseldorf on Friday in the hope of getting closer to the finals."
"En direct, Allemagne-Hongrie : la Mannschaft ouvre la marque par Jamal Musiala","Pour la deuxième journée de compétition dans le groupe A, les hôtes allemands se frottent aux Magyars, mercredi 19 juin, à 18 heures, à Stuttgart.","Bienvenue dans ce direct consacré au match de football opposant lAllemagne et la Hongrie, comptant pour la phase de poules de lEuro 2024 masculin, une compétition qui se tient en Allemagne jusquau 14… ",,https://www.lemonde.fr/sport/live/2024/06/19/en-direct-allemagne-hongrie-suivez-le-match-de-l-euro-2024_6241412_3242.html,1.0,"[0.7051508736374936, 1.1769094758175038]",0.9410301747274988,"For the second day of competition in Group A, the German hosts will face the Magyars on Wednesday, June 19, at 6 p.m., in Stuttgart."
"En direct, France - Pays-Bas : suivez le deuxième match des Bleus à l’Euro 2024","Quatre jours après sa victoire contre l’Autriche, la France affronte les Pays-Bas, vainqueurs de la Pologne lors de la première journée. Les Bleus peuvent se qualifier pour les huitièmes de finale en cas de victoire.","Bienvenue dans ce direct consacré au match opposant les Pays-Bas à la France, pour la deuxième journée de compétition du groupe D, à lEuro 2024.
De quoi sagit-il ? Du deuxième match des Bleus dans c… ",,https://www.lemonde.fr/sport/live/2024/06/21/en-direct-france-pays-bas-suivez-le-deuxieme-match-des-bleus-a-l-euro-2024_6242161_3242.html,1.5,"[0.6017181990761609, 2.0389690805543035]",1.3203436398152322,"Four days after its victory against Austria, France faces the Netherlands, winners of Poland on the first day. The Blues can"
"En direct, Belgique-Roumanie : suivez le match de l’Euro 2024","Les Diables rouges de Kevin de Bruyne et les Tricolorii de Nicolae Stanciu se rencontrent, lors de la deuxième journée de la phase de groupes de l’Euro 2024, samedi, à 21 heures, à Cologne.","Bienvenue dans ce direct consacré au match de football opposant la Belgique et la Roumanie, comptant pour la phase de poules de lEuro 2024 masculin, une compétition qui se tient en Allemagne jusquau … ",,https://www.lemonde.fr/sport/live/2024/06/22/en-direct-belgique-roumanie-suivez-le-match-de-l-euro-2024_6242571_3242.html,1.0,"[0.6250222479568359, 1.2249866512258984]",0.9250044495913672,Kevin de Bruyne's Red Devils and Nicolae Stanciu's Tricolorii meet on matchday two of the European Championship group stage.
"En direct, France-Pologne : Mbappé et Barcola titulaires, Griezmann remplaçant, pour le dernier match des Bleus dans la phase de groupes","Victorieuse d’un souffle face à l’Autriche (1-0) puis neutralisée par les Pays-Bas (0-0), l’équipe de France de football, déjà qualifiée pour les huitièmes de finale, est en quête d’un succès face à la Pologne, mardi à Dortmund, pour prendre la tête du groupe…","Bienvenue dans ce direct consacré au match opposant la France à la Pologne, le dernier affrontement des Bleus en phases de groupes de lEuro 2024.
De quoi sagit-il ? Du troisième et dernier match des… ",,https://www.lemonde.fr/sport/live/2024/06/25/en-direct-france-pologne-suivez-le-dernier-match-des-bleus-en-phases-de-groupes-de-l-euro-2024_6243646_3242.html,1.5,"[0.9769148384181401, 1.813851096949116]",1.395382967683628,"Victorious by a narrow margin against Austria (1-0) then neutralized by the Netherlands (0-0), the French football team, already qualified for the eight"
"En direct, Suisse-Italie : la Nati démarre fort face aux Azzurri","Après une phase de groupe en demi-teinte, les champions en titre affrontent les Suisses, samedi, à Berlin, pour le premier huitième de finale de ce championnat d’Europe des nations.","Bienvenue dans ce direct consacré au premier huitième de finale de lEuro 2024, opposant la Suisse à lItalie.
De quoi sagit-il ? Du début des choses très sérieuses dans ce championnat dEurope des nat… ",,https://www.lemonde.fr/sport/live/2024/06/29/en-direct-suisse-italie-suivez-le-huitieme-de-finale-de-l-euro-2024_6245427_3242.html,1.0,"[0.9330569649941802, 1.0401658210034919]",0.986611392998836,"After a mixed group stage, the reigning champions face the Swiss on Saturday in Berlin for the first round of 16 of this championship."
"En direct, Allemagne-Danemark : suivez le huitième de finale de l’Euro 2024","Après une phase de groupe vitaminée, le pays hôte affronte le combatif Danemark, samedi, à Dortmund, pour le deuxième huitième de finale de l’Euro 2024.","Bienvenue dans ce direct consacré au deuxième huitième de finale de lEuro 2024 opposant lAllemagne au Danemark.
De quoi sagit-il ? Dun tout autre tournoi ! Après les réjouissantes phases de groupes,… ",,https://www.lemonde.fr/sport/live/2024/06/29/en-direct-allemagne-danemark-suivez-le-huitieme-de-finale-de-l-euro-2024_6245441_3242.html,1.0,"[0.3953173498356657, 1.3628095900986006]",0.8790634699671331,"After a lively group stage, the host country faces the combative Denmark on Saturday in Dortmund for the second round of 16 of Euro 2020."
